,specialty,university,mark_mean_years,placesCount_years,budgetCount_years,contractCount_years,budget_mark_mean_years,abit_count_years,mark_max_years,mark_min_years,budget_mark_max_years,budget_mark_min_years
33714,"Музеєзнавство,пам’яткознавство","Національний університет ""Львівська політехніка""",158.28430564784063,25.0,10.0,15.0,174.5844776459421,150.87375415282392,194.12413289036544,120.86642524916944,186.09633554817273,147.7867607973422
33872,Метрологіятаінформаційно,"Національний університет ""Львівська політехніка""",155.7713644859813,189.29906542056074,39.14018691588785,150.15887850467288,159.82153851650867,109.10280373831776,191.64493457943928,118.60709345794393,187.10542990654207,137.8978785046729
33964,Металургія,"Національний університет ""Львівська політехніка""",141.31905882352942,30.0,10.0,20.0,134.78539999999998,17.0,172.053,121.654,156.201,121.654
33981,Менеджмент,"Національний університет ""Львівська політехніка""",162.8545906357391,329.37328178694156,116.0,213.3732817869416,182.204357741907,1164.0214776632301,199.4350837628866,110.62959235395189,197.19228823024054,132.27089390034365
35140,Маркетинг,"Національний університет ""Львівська політехніка""",162.67227295703458,94.70092670598146,17.58972198820556,77.1112047177759,187.22389707947204,595.6234203875316,198.2207160909857,110.30766470092671,194.97258803706825,171.68068660488626
35698,Кібербезпека,"Національний університет ""Львівська політехніка""",166.42029119210326,224.76841305998482,89.19893697798025,135.56947608200454,183.19307507635196,1319.8253606681853,200.0,114.00518754745633,199.27863933181473,159.17617691723615
37076,Комп’ютернаінженерія,"Національний університет ""Львівська політехніка""",166.36489336402005,250.0,182.54622171077867,67.45377828922133,179.5021675242717,1305.0882240122746,200.0,112.40930418105101,193.26754238588416,158.7663628691983
38425,Комп'ютернінауки,"Національний університет ""Львівська політехніка""",171.95799756352233,356.52627915071355,203.3357117995127,143.2749738948834,189.10314716929588,1792.7702749738949,200.0,113.79259780717021,199.88689940828402,148.19927305951964
41184,Електроніка,"Національний університет ""Львівська політехніка""",155.3856256410257,55.17948717948718,15.0,40.17948717948718,163.6847372893773,97.62564102564103,189.79564102564103,114.69142564102563,175.94274358974357,150.18827692307693
41285,"Електроенергетика,електротехнікатаелектромеханіка","Національний університет ""Львівська політехніка""",150.47710668563306,395.92603129445234,110.0,285.92603129445234,152.18110685785152,351.62019914651495,192.64209957325747,110.84418349928876,189.38594736842106,130.3465988620199
41643,Економіка,"Національний університет ""Львівська політехніка""",165.18338079191236,117.04717775905644,26.771693344566135,90.27548441449031,184.57101704361355,612.9713563605728,200.0,115.07569839932603,194.61843302443134,163.81961920808763
